Drug Tier,Specialty,Plan Type,Allowed,Drug_name,Requirements_Limits
5,Not Specified,my blue,Yes,AMOXICILLIN - amoxicillin (trihydrate) chew tab 250 mg,Not Specified
3,Not Specified,my blue,Yes,"amoxicillin (trihydrate) cap 250 mg, 500 mg",Not Specified
3,Not Specified,my blue,Yes,"amoxicillin (trihydrate) for susp 125 mg/5ml, 200 mg/5ml, 250 mg/5ml, 400 mg/5ml",Not Specified
3,Not Specified,my blue,Yes,"amoxicillin (trihydrate) tab 500 mg, 875 mg",Not Specified
3,Not Specified,my blue,Yes,"amoxicillin & k clavulanate for susp 200-28.5 mg/5ml, 400-57 mg/5ml",Not Specified
5,Not Specified,my blue,Yes,amoxicillin & k clavulanate for susp 250-62.5 mg/5ml (Augmentin),Not Specified
3,Not Specified,my blue,Yes,amoxicillin & k clavulanate for susp 600-42.9 mg/5ml (Augmentin es-600),Not Specified
5,Not Specified,my blue,Yes,amoxicillin & k clavulanate tab 250-125 mg,Not Specified
3,Not Specified,my blue,Yes,amoxicillin & k clavulanate tab 500-125 mg (Augmentin),Not Specified
3,Not Specified,my blue,Yes,amoxicillin & k clavulanate tab 875-125 mg,Not Specified
5,Not Specified,my blue,Yes,ampicillin cap 500 mg,Not Specified
5,Not Specified,my blue,Yes,AUGMENTIN - amoxicillin & k clavulanate for susp 125-31.25 mg/5ml,Not Specified
3,Not Specified,my blue,Yes,"dicloxacillin sodium cap 250 mg, 500 mg",Not Specified
5,Not Specified,my blue,Yes,"PENICILLIN V POTASSIUM - penicillin v potassium for soln 125 mg/5ml, 250 mg/5ml",Not Specified
3,Not Specified,my blue,Yes,"penicillin v potassium tab 250 mg, 500 mg",Not Specified
5,Not Specified,my blue,Yes,"CEFACLOR - cefaclor cap 250 mg, 500 mg",Not Specified
3,Not Specified,my blue,Yes,cefadroxil cap 500 mg,Not Specified
3,Not Specified,my blue,Yes,"cefadroxil for susp 250 mg/5ml, 500 mg/5ml",Not Specified
3,Not Specified,my blue,Yes,cefdinir cap 300 mg,Not Specified
3,Not Specified,my blue,Yes,"cefdinir for susp 125 mg/5ml, 250 mg/5ml",Not Specified
5,Not Specified,my blue,Yes,cefixime cap 400 mg (Suprax),Not Specified
5,Not Specified,my blue,Yes,"cefixime for susp 100 mg/5ml, 200 mg/5ml (Suprax)",Not Specified
5,Not Specified,my blue,Yes,"cefpodoxime proxetil for susp 50 mg/5ml, 100 mg/5ml",Not Specified
5,Not Specified,my blue,Yes,"cefpodoxime proxetil tab 100 mg, 200 mg",Not Specified
3,Not Specified,my blue,Yes,"cefprozil for susp 125 mg/5ml, 250 mg/5ml",Not Specified
3,Not Specified,my blue,Yes,"cefprozil tab 250 mg, 500 mg",Not Specified
3,Not Specified,my blue,Yes,"cefuroxime axetil tab 250 mg, 500 mg",Not Specified
3,Not Specified,my blue,Yes,"cephalexin cap 250 mg, 500 mg",Not Specified
5,Not Specified,my blue,Yes,cephalexin cap 750 mg (Keflex),Not Specified
3,Not Specified,my blue,Yes,"cephalexin for susp 125 mg/5ml, 250 mg/5ml",Not Specified
3,Not Specified,my blue,Yes,"azithromycin for susp 100 mg/5ml, 200 mg/5ml (Zithromax)",Not Specified
3,Not Specified,my blue,Yes,"azithromycin tab 250 mg, 500 mg (Zithromax)",Not Specified
3,Not Specified,my blue,Yes,azithromycin tab 600 mg,Not Specified
5,Not Specified,my blue,Yes,"CLARITHROMYCIN - clarithromycin for susp 125 mg/5ml, 250 mg/5ml",Not Specified
5,Not Specified,my blue,Yes,clarithromycin tab er 24hr 500 mg,Not Specified
3,Not Specified,my blue,Yes,"clarithromycin tab 250 mg, 500 mg",Not Specified
5,Not Specified,my blue,Yes,DIFICID - fidaxomicin tab 200 mg,Quantity Limits (40 tablets/180 days)
5,Not Specified,my blue,Yes,DIFICID - fidaxomicin for susp 40 mg/ml,Quantity Limits (272 mls/180 days)
5,Not Specified,my blue,Yes,erythromycin ethylsuccinate for susp 200 mg/5ml (E.e.s. granules),Not Specified
5,Not Specified,my blue,Yes,erythromycin ethylsuccinate for susp 400 mg/5ml (Eryped 400),Not Specified
5,Not Specified,my blue,Yes,"erythromycin tab delayed release 250 mg, 333 mg, 500 mg",Not Specified
5,Not Specified,my blue,Yes,"erythromycin tab 250 mg, 500 mg",Not Specified
5,Not Specified,my blue,Yes,ZITHROMAX - azithromycin powd pack for susp 1 gm,Not Specified
5,Not Specified,my blue,Yes,"demeclocycline hcl tab 150 mg, 300 mg",Not Specified
3,Not Specified,my blue,Yes,doxycycline hyclate cap 50 mg,Not Specified
3,Not Specified,my blue,Yes,doxycycline hyclate cap 100 mg (Vibramycin),Not Specified
3,Not Specified,my blue,Yes,"doxycycline hyclate tab 20 mg, 100 mg",Not Specified
5,Not Specified,my blue,Yes,doxycycline hyclate tab 50 mg,Not Specified
3,Not Specified,my blue,Yes,"doxycycline monohydrate cap 50 mg, 100 mg",Not Specified
5,Not Specified,my blue,Yes,doxycycline monohydrate for susp 25 mg/5ml (Vibramycin),Not Specified
3,Not Specified,my blue,Yes,"doxycycline monohydrate tab 50 mg, 75 mg, 100 mg",Not Specified
3,Not Specified,my blue,Yes,"minocycline hcl cap 50 mg, 75 mg, 100 mg",Not Specified
5,Not Specified,my blue,Yes,"tetracycline hcl cap 250 mg, 500 mg",Not Specified
5,Not Specified,my blue,Yes,BAXDELA - delafloxacin meglumine tab 450 mg (base equiv),"Prior authorization, Quantity Limits (28 tablets/14 days)"
5,Not Specified,my blue,Yes,CIPRO - ciprofloxacin for oral susp 500 mg/5ml (10%) (10 gm/100ml),Not Specified
3,Not Specified,my blue,Yes,"ciprofloxacin hcl tab 250 mg (base equiv), 500 mg (base equiv) (Cipro)",Not Specified
3,Not Specified,my blue,Yes,ciprofloxacin hcl tab 750 mg (base equiv),Not Specified
5,Not Specified,my blue,Yes,LEVOFLOXACIN - levofloxacin oral soln 25 mg/ml,Not Specified
3,Not Specified,my blue,Yes,"levofloxacin tab 250 mg, 500 mg, 750 mg",Not Specified
3,Not Specified,my blue,Yes,moxifloxacin hcl tab 400 mg (base equiv),Not Specified
5,Not Specified,my blue,Yes,ofloxacin tab 400 mg,Not Specified
5,Not Specified,my blue,Yes,HUMATIN - paromomycin sulfate cap 250 mg,Limited distribution
3,Not Specified,my blue,Yes,neomycin sulfate tab 500 mg,Not Specified
6,Speciality Drug,my blue,Yes,TOBI PODHALER - tobramycin inhal cap 28 mg,Limited distribution
6,Speciality Drug,my blue,Yes,tobramycin nebu soln 300 mg/5ml (Tobi),Not Specified
6,Speciality Drug,my blue,Yes,tobramycin nebu soln 300 mg/4ml (Bethkis),Not Specified
5,Not Specified,my blue,Yes,SULFADIAZINE - sulfadiazine tab 500 mg,Not Specified
5,Not Specified,my blue,Yes,cycloserine cap 250 mg,Not Specified
3,Not Specified,my blue,Yes,ethambutol hcl tab 100 mg,Not Specified
3,Not Specified,my blue,Yes,ethambutol hcl tab 400 mg (Myambutol),Not Specified
5,Not Specified,my blue,Yes,isoniazid syrup 50 mg/5ml,Not Specified
